time	step	loss	loss_ma25	lr	tokens_seen_b
2026-05-28T11:24:26+08:00	20	11.22411728	11.22411728	6e-06	0.00196608
2026-05-28T11:24:51+08:00	40	11.19030571	11.20721149	1.2e-05	0.00393216
2026-05-28T11:25:21+08:00	60	11.11497688	11.17646662	1.8e-05	0.00589824
2026-05-28T11:25:52+08:00	80	10.94243622	11.11795902	2.4e-05	0.00786432
2026-05-28T11:26:23+08:00	100	10.65396309	11.02515984	3e-05	0.00983040
2026-05-28T11:26:54+08:00	120	10.14348602	10.87821420	3.6e-05	0.01179648
2026-05-28T11:27:26+08:00	140	9.83529091	10.72922516	4.2e-05	0.01376256
2026-05-28T11:27:57+08:00	160	9.58823395	10.58660126	4.8e-05	0.01572864
2026-05-28T11:28:29+08:00	180	9.31964874	10.44582876	5.4e-05	0.01769472
2026-05-28T11:29:01+08:00	200	9.03260326	10.30450621	6e-05	0.01966080
2026-05-28T11:29:33+08:00	220	8.56397820	10.14627639	6.6e-05	0.02162688
2026-05-28T11:30:04+08:00	240	8.18386269	9.98274191	7.2e-05	0.02359296
2026-05-28T11:30:36+08:00	260	7.81494713	9.81598847	7.8e-05	0.02555904
2026-05-28T11:31:08+08:00	280	7.65229702	9.66143908	8.4e-05	0.02752512
2026-05-28T11:31:40+08:00	300	7.39446926	9.51030776	9e-05	0.02949120
2026-05-28T11:32:11+08:00	320	7.30021000	9.37217665	9.6e-05	0.03145728
2026-05-28T11:32:43+08:00	340	7.13386154	9.24051105	0.000102	0.03342336
2026-05-28T11:33:15+08:00	360	7.11780548	9.12258297	0.000108	0.03538944
2026-05-28T11:33:47+08:00	380	7.07485533	9.01480783	0.000114	0.03735552
2026-05-28T11:34:19+08:00	400	6.99345112	8.91373999	0.00012	0.03932160
2026-05-28T11:34:50+08:00	420	6.94269228	8.81988058	0.000126	0.04128768
2026-05-28T11:35:22+08:00	440	6.74065495	8.72537032	0.000132	0.04325376
2026-05-28T11:35:54+08:00	460	6.81516647	8.64231798	0.000138	0.04521984
2026-05-28T11:36:27+08:00	480	6.68305683	8.56068210	0.000144	0.04718592
2026-05-28T11:37:01+08:00	500	6.67470455	8.48524300	0.00015	0.04915200
2026-05-28T11:37:34+08:00	520	6.58736229	8.29977280	0.000156	0.05111808
2026-05-28T11:38:07+08:00	540	6.48083353	8.11139391	0.000162	0.05308416
2026-05-28T11:38:40+08:00	560	6.57120609	7.92964308	0.000168	0.05505024
2026-05-28T11:39:12+08:00	580	6.44103718	7.74958712	0.000174	0.05701632
2026-05-28T11:39:45+08:00	600	6.36916637	7.57819525	0.00018	0.05898240
2026-05-28T11:40:17+08:00	620	6.46919918	7.43122377	0.000186	0.06094848
2026-05-28T11:40:49+08:00	640	6.26815128	7.28853819	0.000192	0.06291456
2026-05-28T11:41:21+08:00	660	6.31491184	7.15760530	0.000198	0.06488064
2026-05-28T11:41:53+08:00	680	6.31803703	7.03754084	0.000204	0.06684672
2026-05-28T11:42:25+08:00	700	6.30194759	6.92831461	0.00021	0.06881280
2026-05-28T11:42:58+08:00	720	6.08964729	6.82934137	0.000216	0.07077888
2026-05-28T11:43:32+08:00	740	6.12356091	6.74692930	0.000222	0.07274496
2026-05-28T11:44:06+08:00	760	6.12518883	6.67933897	0.000228	0.07471104
2026-05-28T11:44:41+08:00	780	6.06452656	6.61582815	0.000234	0.07667712
2026-05-28T11:45:16+08:00	800	6.01041937	6.56046616	0.00024	0.07864320
2026-05-28T11:45:51+08:00	820	5.97806072	6.50758018	0.000246	0.08060928
2026-05-28T11:46:26+08:00	840	6.02124214	6.46307541	0.000252	0.08257536
2026-05-28T11:47:00+08:00	860	5.98487186	6.41775806	0.000258	0.08454144
2026-05-28T11:47:35+08:00	880	5.93029785	6.37197577	0.000264	0.08650752
2026-05-28T11:48:10+08:00	900	5.88953781	6.32781923	0.00027	0.08847360
2026-05-28T11:48:45+08:00	920	5.84477282	6.28390245	0.000276	0.09043968
2026-05-28T11:49:20+08:00	940	5.92823887	6.25140581	0.000282	0.09240576
2026-05-28T11:49:55+08:00	960	5.84854317	6.21274088	0.000288	0.09437184
2026-05-28T11:50:29+08:00	980	5.70133543	6.17347202	0.000294	0.09633792
2026-05-28T11:51:03+08:00	1000	5.85181904	6.14055660	0.0003	0.09830400
2026-05-28T11:51:37+08:00	1020	5.77895737	6.10822041	0.000299999903272	0.10027008
2026-05-28T11:52:10+08:00	1040	5.65765858	6.07529341	0.000299999592455	0.10223616
2026-05-28T11:52:43+08:00	1060	5.77276134	6.04335562	0.000299999067282	0.10420224
2026-05-28T11:53:15+08:00	1080	5.79104042	6.01735575	0.000299998327755	0.10616832
2026-05-28T11:53:48+08:00	1100	5.64430618	5.98836134	0.000299997373873	0.10813440
2026-05-28T11:54:20+08:00	1120	5.61463928	5.95417894	0.000299996205639	0.11010048
2026-05-28T11:54:53+08:00	1140	5.60207272	5.92753580	0.000299994823055	0.11206656
2026-05-28T11:55:26+08:00	1160	5.57289124	5.89785498	0.000299993226123	0.11403264
2026-05-28T11:55:59+08:00	1180	5.55027866	5.86714464	0.000299991414844	0.11599872
2026-05-28T11:56:33+08:00	1200	5.55418587	5.83723417	0.000299989389223	0.11796480
2026-05-28T11:57:08+08:00	1220	5.62533474	5.81866167	0.000299987149263	0.11993088
2026-05-28T11:57:42+08:00	1240	5.55829763	5.79605114	0.000299984694966	0.12189696
2026-05-28T11:58:18+08:00	1260	5.51413631	5.77160904	0.000299982026337	0.12386304
2026-05-28T11:58:53+08:00	1280	5.37938261	5.74420328	0.00029997914338	0.12582912
2026-05-28T11:59:27+08:00	1300	5.55497026	5.72598532	0.000299976046099	0.12779520
2026-05-28T12:00:02+08:00	1320	5.34895039	5.70082090	0.000299972734501	0.12976128
2026-05-28T12:00:36+08:00	1340	5.40862942	5.67631639	0.000299969208589	0.13172736
2026-05-28T12:01:11+08:00	1360	5.33930779	5.65049383	0.000299965468369	0.13369344
2026-05-28T12:01:45+08:00	1380	5.43456459	5.63066450	0.000299961513848	0.13565952
2026-05-28T12:02:20+08:00	1400	5.43650818	5.61254332	0.000299957345031	0.13762560
2026-05-28T12:02:54+08:00	1420	5.37399864	5.59371235	0.000299952961926	0.13959168
2026-05-28T12:03:28+08:00	1440	5.29451561	5.56836342	0.000299948364538	0.14155776
2026-05-28T12:04:02+08:00	1460	5.17075920	5.54125206	0.000299943552877	0.14352384
2026-05-28T12:04:35+08:00	1480	5.27912807	5.52436377	0.000299938526948	0.14548992
2026-05-28T12:05:08+08:00	1500	5.09697247	5.49416990	0.000299933286761	0.14745600
2026-05-28T12:05:41+08:00	1520	5.09657574	5.46687464	0.000299927832323	0.14942208
2026-05-28T12:06:14+08:00	1540	5.19698048	5.44844751	0.000299922163643	0.15138816
2026-05-28T12:06:47+08:00	1560	5.10829592	5.42186890	0.00029991628073	0.15335424
2026-05-28T12:07:20+08:00	1580	5.18340826	5.39756361	0.000299910183594	0.15532032
2026-05-28T12:07:52+08:00	1600	5.16984081	5.37858500	0.000299903872243	0.15728640
2026-05-28T12:08:25+08:00	1620	5.25493431	5.36419680	0.000299897346689	0.15925248
2026-05-28T12:08:59+08:00	1640	5.08918571	5.34368132	0.000299890606942	0.16121856
2026-05-28T12:09:33+08:00	1660	5.06711006	5.32345007	0.000299883653011	0.16318464
2026-05-28T12:10:07+08:00	1680	5.07981443	5.30463150	0.000299876484909	0.16515072
2026-05-28T12:10:41+08:00	1700	5.13338137	5.28779932	0.000299869102646	0.16711680
2026-05-28T12:11:16+08:00	1720	5.07616901	5.26583269	0.000299861506235	0.16908288
2026-05-28T12:11:52+08:00	1740	5.15858650	5.24984425	0.000299853695688	0.17104896
2026-05-28T12:12:26+08:00	1760	4.99594593	5.22911663	0.000299845671016	0.17301504
2026-05-28T12:13:01+08:00	1780	4.99917793	5.21390844	0.000299837432232	0.17498112
2026-05-28T12:13:35+08:00	1800	4.99951839	5.19169037	0.00029982897935	0.17694720
2026-05-28T12:14:10+08:00	1820	4.98589420	5.17716812	0.000299820312384	0.17891328
2026-05-28T12:14:44+08:00	1840	4.98186493	5.16009754	0.000299811431346	0.18087936
2026-05-28T12:15:19+08:00	1860	5.09848595	5.15046467	0.000299802336251	0.18284544
2026-05-28T12:15:54+08:00	1880	4.90241194	5.12917856	0.000299793027113	0.18481152
2026-05-28T12:16:29+08:00	1900	4.96537304	5.11033316	0.000299783503948	0.18677760
2026-05-28T12:17:03+08:00	1920	4.94383383	5.09312656	0.00029977376677	0.18874368
2026-05-28T12:17:38+08:00	1940	4.90144920	5.07740391	0.000299763815594	0.19070976
2026-05-28T12:18:11+08:00	1960	4.92060089	5.06739758	0.000299753650437	0.19267584
2026-05-28T12:18:45+08:00	1980	4.78536081	5.04764688	0.000299743271315	0.19464192
2026-05-28T12:19:18+08:00	2000	4.71428537	5.03233940	0.000299732678244	0.19660800
2026-05-28T12:19:52+08:00	2020	4.84713364	5.02236172	0.000299721871241	0.19857408
2026-05-28T12:20:25+08:00	2040	4.73704433	5.00396427	0.000299710850323	0.20054016
2026-05-28T12:20:58+08:00	2060	4.80156708	4.99169512	0.000299699615507	0.20250624
2026-05-28T12:21:32+08:00	2080	4.99779415	4.98427055	0.000299688166813	0.20447232
2026-05-28T12:22:06+08:00	2100	4.80683374	4.96975027	0.000299676504256	0.20643840
2026-05-28T12:22:41+08:00	2120	4.78844213	4.95109058	0.000299664627857	0.20840448
2026-05-28T12:23:16+08:00	2140	4.77112293	4.93836807	0.000299652537634	0.21037056
2026-05-28T12:23:51+08:00	2160	4.72266293	4.92459019	0.000299640233606	0.21233664
2026-05-28T12:24:25+08:00	2180	4.67941380	4.90857416	0.000299627715793	0.21430272
2026-05-28T12:25:00+08:00	2200	4.68261051	4.89054333	0.000299614984215	0.21626880
2026-05-28T12:25:34+08:00	2220	4.63552141	4.87291742	0.000299602038891	0.21823488
2026-05-28T12:26:07+08:00	2240	4.63131380	4.85182652	0.000299588879843	0.22020096
2026-05-28T12:26:41+08:00	2260	4.72103691	4.84083015	0.000299575507091	0.22216704
2026-05-28T12:27:15+08:00	2280	4.67105579	4.82770527	0.000299561920657	0.22413312
2026-05-28T12:27:50+08:00	2300	4.58404827	4.81108646	0.000299548120561	0.22609920
2026-05-28T12:28:24+08:00	2320	4.63112402	4.79689566	0.000299534106827	0.22806528
2026-05-28T12:28:59+08:00	2340	4.72243071	4.78651829	0.000299519879476	0.23003136
2026-05-28T12:29:33+08:00	2360	4.62316418	4.76750542	0.000299505438531	0.23199744
2026-05-28T12:30:07+08:00	2380	4.59524345	4.75521868	0.000299490784014	0.23396352
2026-05-28T12:30:41+08:00	2400	4.57980967	4.73979614	0.00029947591595	0.23592960
2026-05-28T12:31:14+08:00	2420	4.51035023	4.72245680	0.000299460834361	0.23789568
2026-05-28T12:31:48+08:00	2440	4.68938255	4.71397413	0.000299445539272	0.23986176
2026-05-28T12:32:22+08:00	2460	4.54788637	4.69906555	0.000299430030707	0.24182784
2026-05-28T12:32:55+08:00	2480	4.41884184	4.68440479	0.000299414308691	0.24379392
2026-05-28T12:33:29+08:00	2500	4.53452969	4.67721457	0.000299398373247	0.24576000
2026-05-28T12:34:03+08:00	2520	4.55498838	4.66552876	0.000299382224403	0.24772608
2026-05-28T12:34:37+08:00	2540	4.45163727	4.65411247	0.000299365862183	0.24969216
2026-05-28T12:35:11+08:00	2560	4.62710857	4.64713413	0.000299349286614	0.25165824
2026-05-28T12:35:45+08:00	2580	4.55808163	4.62954563	0.000299332497721	0.25362432
2026-05-28T12:36:18+08:00	2600	4.44759035	4.61517590	0.000299315495531	0.25559040
2026-05-28T12:36:53+08:00	2620	4.53352547	4.60497923	0.000299298280072	0.25755648
2026-05-28T12:37:27+08:00	2640	4.51427174	4.59470518	0.000299280851371	0.25952256
2026-05-28T12:38:01+08:00	2660	4.37800694	4.58091894	0.000299263209455	0.26148864
2026-05-28T12:38:34+08:00	2680	4.52892923	4.57489956	0.000299245354353	0.26345472
2026-05-28T12:39:07+08:00	2700	4.48203087	4.56687637	0.000299227286092	0.26542080
2026-05-28T12:39:40+08:00	2720	4.41639900	4.55811148	0.000299209004702	0.26738688
2026-05-28T12:40:13+08:00	2740	4.40456867	4.54904167	0.000299190510211	0.26935296
2026-05-28T12:40:46+08:00	2760	4.50447273	4.54037910	0.000299171802649	0.27131904
2026-05-28T12:41:19+08:00	2780	4.43947458	4.53111586	0.000299152882045	0.27328512
2026-05-28T12:41:52+08:00	2800	4.45395088	4.52591196	0.000299133748431	0.27525120
2026-05-28T12:42:26+08:00	2820	4.38453722	4.51604849	0.000299114401835	0.27721728
2026-05-28T12:43:00+08:00	2840	4.41368914	4.50369883	0.000299094842288	0.27918336
2026-05-28T12:43:33+08:00	2860	4.39770794	4.49468058	0.000299075069823	0.28114944
2026-05-28T12:44:07+08:00	2880	4.40355492	4.48701303	0.00029905508447	0.28311552
2026-05-28T12:44:41+08:00	2900	4.43773174	4.48132992	0.00029903488626	0.28508160
2026-05-28T12:45:15+08:00	2920	4.35510921	4.47512028	0.000299014475227	0.28704768
2026-05-28T12:45:49+08:00	2940	4.31017494	4.45995197	0.000298993851401	0.28901376
